lakecode,lakename,latitude,longitude,continent,country,elevation,surface_area,mean_depth,max_depth,shoreline,contributor,alternate_lakenames,surface_area_source,mean_depth_source,max_depth_source,shoreline_source,elevation_google
ARAI1,suwa,36.04,138.08,A,Japan,759.0,13.7,4.1,7.6,18.0,Yasuyuki Aono,Lake Suwa;LAKE SUWA;Suwa,Yasuyuki Aono,Yasuyuki Aono,Yasuyuki Aono,LIAG,807.1797485351562
DMR1,mendota,43.128,-89.42,N,United States of America,259.1,39.377,12.8,25.3,33.8,Dale Robertson,Mendota,LIAG,LIAG,LIAG,LIAG,266.54928588867193
DMR2,monona,43.067,-89.366,N,United States of America,257.5,13.24,8.2,22.5,20.9,Dale Robertson,Monona,LIAG,LIAG,LIAG,LIAG,261.185546875
GAH1,auburn,44.1444,-70.25,N,United States of America,,,,,,Julia Daly,Lake Auburn,,,,,111.96981811523442
GAH10,kezar,44.19300000000001,-70.90100000000002,N,United States of America,,,,47.9,,Julia Daly,Kezar Lake,,,Julia Daly,,206.0276947021484
GAH14,mooselookmeguntic,44.9069,-70.8111,N,United States of America,,,,41.0,,Julia Daly,Mooselookmeguntic Lake,,,LAKEPEDIA,,509.6626892089844
GAH15,pennessewassee,44.2261,-70.5786,N,United States of America,,,,,,Julia Daly,Pennesseewassee (Norway) Lake;Pennessewassee Lake,,,,,168.9099731445312
GAH20,richardson,44.8564,-70.8656,N,United States of America,,,,,,Julia Daly,Richardson Lake,,,,,496.1360778808594
GAH21,sebago,43.8708,-70.5669,N,United States of America,,,,33.0,,Julia Daly,Sebago Lake;Sebago Lake *(see notes),,,http://www.lakesofmaine.org/lake-overview.html?m=5786,,82.22563171386719
GAH22,sebec,45.2828,-69.2792,N,United States of America,,,,48.0,,Julia Daly,Sebec Lake,,,LAKEPEDIA,,131.93547058105472
GAH24,sunapee,43.37600000000001,-72.053,N,United States of America,,,,32.0,,Julia Daly,Sunapee Lake,,,LAKEPEDIA,,428.8078308105469
GAH26,thompson,44.0661,-70.4853,N,United States of America,,,,,,Julia Daly,Thompson Lake,,,,,109.1028289794922
GAH27,umbagog,44.8014,-71.0283,N,United States of America,,,,14.0,,Julia Daly,Umbagog Lake,,,LAKEPEDIA,,408.1987915039062
GAH28,west_grand,45.2156,-67.8144,N,United States of America,,,,39.0,,Julia Daly,West Grand Lake,,,LAKEPEDIA,,106.5987014770508
GAH29,winnipesaukee,43.603,-71.362,N,United States of America,,,,,,Julia Daly,Winnipesaukee,,,,,156.6885375976562
GAH4,cobbossee,44.2717,-69.9294,N,United States of America,,,,,,Julia Daly,Cobbosseecontee Lake;Cobbossee Lake,,,,,88.69586181640625
GAH5,damariscotta,44.1825,-69.4792,N,United States of America,15.0,17.5,,35.0,70.3,Julia Daly,Damariscotta Lake,LIAG,,LIAG,LIAG,64.56597137451172
GAH9,houghtons_pond,42.2072,-71.0964,N,United States of America,50.0,0.1,13.0,,,Julia Daly,Houghtons (Hoosicwhisick) Pond,LAKEPEDIA,LAKEPEDIA,,,42.324806213378906
GW202,runn,60.468878210090296,15.5926479283949,E,Sweden,106.8,64.7024,8.3,29.5,,Gesa Weyhenmeyer,RUNN,LIAG,LIAG,LIAG,,108.2502975463867
GW240,orsasjon,61.072,14.548,E,Sweden,159.9,52.827,17.3,92.2,,Gesa Weyhenmeyer,ORSASJÖN,LIAG,LIAG,LIAG,,164.8024749755859
GW341,nackten,62.9127745606349,14.572430727904699,E,Sweden,323.95,84.2389,15.5,44.0,,Gesa Weyhenmeyer,NÄCKTEN,LIAG,LIAG,LIAG,,324.4221496582031
GW369,kallsjon,63.56800000000001,12.977,E,Sweden,380.525,156.3551,40.1,102.825,,Gesa Weyhenmeyer,KALLSJÖN,LIAG,LIAG,LIAG,,420.2956237792969
GW512,gouta,65.6029061689612,15.5219670499765,E,Sweden,438.63333,31.5935,17.2,58.0,,Gesa Weyhenmeyer,GÖUTA,LIAG,LIAG,LIAG,,614.255615234375
JJM22,shell,45.732,-91.896,N,United States of America,370.94,10.45,7.01,11.0,,Dale Robertson,SHELL LAKE;Shell;Shell Lake,LIAG,LIAG,LAKEPEDIA,,389.4105529785156
JJM27,geneva,42.56800000000001,-88.479,N,United States of America,263.35,20.66,18.59,41.148,,Dale Robertson,LAKE GENEVA;Lake Geneva;Geneva,LIAG,LIAG,http://dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=758300&page=facts,,299.5501403808594
JJM33,bayfield,46.81,-90.81,N,United States of America,182.88,,,,,John Magnuson,Bayfield,,,,,204.9424591064453
JK01,oulujarvi,64.3,27.3,E,Finland,122.7,887.0,,,,Johanna Korhonen,OULUJARVI;Oulujärvi,Johanna Korhonen,,,,122.0
JK02,kallavesi,62.83,27.77,E,Finland,81.8,316.0,9.7,75.0,,Johanna Korhonen,LAKE KALLAVESI (4079);Kallavesi,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,83.14892578125
JK03,nasijarvi,61.53,23.75,E,Finland,95.4,256.0,13.0,61.0,,Johanna Korhonen,"LAKE NASIJARVI (3568);Näsijärvi, Tampere",Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,97.13469696044922
JK04,vesijarvi,61.18,25.54,E,Finland,81.4,107.6,6.6,40.0,169.0,Johanna Korhonen,LAKE VESIJARVI (1462);Vesijärvi,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,LIAG,82.9830322265625
JK05,paijanne,61.18,25.54,E,Finland,78.3,1080.0,15.0,94.5,2345.0,Johanna Korhonen,LAKE PAIJANNE (1463);Päijänne. Vääksy,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,LIAG,82.9830322265625
JK09,pielavesi,63.2,26.67,E,Finland,102.3,110.0,,,,Johanna Korhonen,PIELAVESI - SAVIA (1427);Pielavesi,Johanna Korhonen,,,,108.5874481201172
JK25,haukivesi,62.11,28.61,E,Finland,75.8,560.0,9.1,55.0,,Johanna Korhonen,HAUKIVESI;Haukivesi,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,76.9983901977539
JK31,lentua,64.251,29.694000000000006,E,Finland,167.9,77.8,7.4,52.0,,Johanna Korhonen,LENTUA;Lentua,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,168.3211669921875
JK40,pielinen,63.54,29.13,E,Finland,93.7,894.0,10.0,61.0,,Johanna Korhonen,PIELINEN;Pielinen,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,118.5439987182617
JK45,visuvesi,62.12,23.93,E,Finland,96.1,46.2,6.95,62.0,,Johanna Korhonen,VISUVESI;Visuvesi,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,116.6968154907227
JK46,palovesi,61.86,23.91,E,Finland,96.0,25.5,9.6,60.97,,Johanna Korhonen,PALOVESI;Palovesi,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,140.0033264160156
KMS11,mirror,44.291,-73.982,N,United States of America,565.0,0.518,4.3,18.3,,Brendan Wiltse,MIRROR;Mirror Lake,LIAG,LIAG,LIAG,,570.72607421875
KMS14,otsego,42.758,-74.89399999999998,N,United States of America,363.0,17.11,24.9,50.6,34.49,Kiyoko Yokota,Otsego,LIAG,LIAG,LIAG,LIAG,425.2287902832031
KMS18,schroon,43.75899999999999,-73.782,N,United States of America,246.0,,,47.0,,Kevin Rose,SCHROON;Schroon Lake,,,LAKEPEDIA,,368.0564270019531
KMS2,brant,43.714,-73.706,N,United States of America,243.0,5.492000000000001,9.1,18.3,,Kevin Rose,BRANT;Brant,LIAG,LIAG,LIAG,,335.9208068847656
KMSM1,moosehead,45.672,-69.708,N,United States of America,314.0,303.0,,75.0,,Julia Daly,Moosehead Lake,LIAG,,LIAG,,334.3146362304688
LR1,oneida,43.21,-75.905,N,United States of America,112.0,206.7,6.8,16.8,33.6,Lars Rudstam,Oneida Lake,LIAG,LIAG,LIAG,LIAG,125.6246871948242
LR2,cazenovia,42.951,-75.87100000000002,N,United States of America,363.0,4.79,7.2,14.5,5.48,Lars Rudstam,Cazenovia Lake;CAZENOVIA,LIAG,LIAG,LIAG,LIAG,309.4425964355469
MINN12,minnetonka,44.91,-93.653,N,United States of America,283.0,58.0,,34.4,146.6,Lesley Knoll,Minnetonka (MN27013300);MINNETONKA,LIAG,,LIAG,LIAG,292.3614196777344
MINN2,detroit,46.783,-95.933,N,United States of America,406.6,13.0,4.0,25.0,20.0,Lesley Knoll,Detroit (MN03038100),LIAG,LAKEPEDIA,LIAG,LIAG,413.4861145019531
MINN27,osakis,45.909,-95.116,N,United States of America,403.25,27.0,,20.4,34.1,Lesley Knoll,Osakis (MN77021500),LIAG,,LIAG,LIAG,410.4530029296875
NG1,baikal,53.663,108.188,A,Russia,,31722.0,744.0,1642.0,,Nikolay Granin,LAKE BAIKAL;Lake Baikal (Listvyanka);Lake Baikal,Nikolay Granin,Nikolay Granin,Nikolay Granin,,5.692037105560303
PJD15,haystack_bay__lake_of_bays,45.283,-79.018,N,Canada,315.0,70.581,,,,Huaxia Yao,"Haystack Bay, Lake of Bays",LIAG,,,,352.6288757324219
RAA3,grand_traverse_bay,44.77,-85.62,N,United States of America,176.45,717.427,46.0,100.0,,Heather Smith,Grand Traverse Bay,http://www.gtbay.org/wp-content/uploads/2010/11/GTBWS_Facts.pdf,LIAG,LIAG,,168.2926025390625
RH1,rangeley,44.9447,-70.6983,N,United States of America,463.0,24.3,,45.0,,Julia Daly,Rangeley Lake,LIAG,,LIAG,,588.6657104492188
USGS1,champlain,44.306,-73.32600000000002,N,United States of America,95.0,1127.0,19.5,122.0,944.7,Jason Stockwell,LAKE CHAMPLAIN;Champlain,LIAG,LIAG,LIAG,LIAG,56.00651168823242
WRS302,nipissing,46.27,-79.54,N,Canada,,,,,,Huaxia Yao,Lake Nipissing;LAKE NIPISSING,,,,,196.0727691650391
xAM01,kempenfelt_bay,44.386,-79.61399999999998,N,Canada,,,,,,Alex Mills,Kempenfelt Bay,,,,,225.01416015625
xIMGW01,serwy,53.901,23.206,E,Poland,,,,,,Włodzimierz Marszelewski,Lake Serwy,,,,,129.8899230957031
xKB0290,christmas,44.89707,-93.54321,N,United States of America,,,,,,MN climatologist,Christmas (MN27013700),,,,,285.6546936035156
xKB0309,clear,44.08707,-93.48469,N,United States of America,,,,,,MN climatologist,Clear (MN81001401),,,,,344.4827575683594
xKB1618,shields,44.36998,-93.44184,N,United States of America,,,,,,MN climatologist,Shields (MN66005500),,,,,336.7044067382812
xKB1978,wilson,44.600448,-70.25361120000001,N,United States of America,,,,,,Julia Daly,Wilson Lake,,,,,174.0
xTAK01,balaton,46.9073,18.0448,E,Hungary,104.0,596.0,3.0,11.2,195.0,Takacs,Lake Balaton,LIAG,LIAG,LIAG,LIAG,104.8944549560547
