lake,lakecode,other_lakenames
aegerisee,xHJHF07,Aegerisee
auburn,GAH1,Lake Auburn
baikal,NG1,LAKE BAIKAL
baikal,NG1,Lake Baikal (Listvyanka)
baikal,NG1,Lake Baikal
balaton,xTAK01,Lake Balaton
baldeggersee,xHJHF02,Baldeggersee
bayfield,JJM33,Bayfield
brant,KMS2,BRANT
brant,KMS2,Brant
cazenovia,LR2,Cazenovia Lake
cazenovia,LR2,CAZENOVIA
champlain,USGS1,LAKE CHAMPLAIN
champlain,USGS1,Champlain
christmas,xKB0290,Christmas (MN27013700)
clear,xKB0309,Clear (MN81001401)
cobbossee,GAH4,Cobbosseecontee Lake
cobbossee,GAH4,Cobbossee Lake
damariscotta,GAH5,Damariscotta Lake
detroit,MINN2,Detroit (MN03038100)
geneva,JJM27,LAKE GENEVA
geneva,JJM27,Lake Geneva
geneva,JJM27,Geneva
gouta,GW512,GÖUTA
grand_traverse_bay,RAA3,Grand Traverse Bay
greifensee,xHJHF05,Greifensee
hallwilersee,xHJHF04,Hallwilersee
haukivesi,JK25,HAUKIVESI
haukivesi,JK25,Haukivesi
haystack_bay__lake_of_bays,PJD15,"Haystack Bay, Lake of Bays"
houghtons_pond,GAH9,Houghtons (Hoosicwhisick) Pond
kallavesi,JK02,LAKE KALLAVESI (4079)
kallavesi,JK02,Kallavesi
kallsjon,GW369,KALLSJÖN
kempenfelt_bay,xAM01,Kempenfelt Bay
kezar,GAH10,Kezar Lake
lej_da_san_murezzan,DML1,LEJ DA SAN MUREZZAN
lej_da_san_murezzan,DML1,Lej de San Murezzan
lentua,JK31,LENTUA
lentua,JK31,Lentua
mendota,DMR1,Mendota
minnetonka,MINN12,Minnetonka (MN27013300)
minnetonka,MINN12,MINNETONKA
mirror,KMS11,MIRROR
mirror,KMS11,Mirror Lake
monona,DMR2,Monona
moosehead,KMSM1,Moosehead Lake
mooselookmeguntic,GAH14,Mooselookmeguntic Lake
murtensee,xHJHF01,Murtensee
nackten,GW341,NÄCKTEN
nasijarvi,JK03,LAKE NASIJARVI (3568)
nasijarvi,JK03,"Näsijärvi, Tampere"
nipissing,WRS302,Lake Nipissing
nipissing,WRS302,LAKE NIPISSING
oneida,LR1,Oneida Lake
orsasjon,GW240,ORSASJÖN
osakis,MINN27,Osakis (MN77021500)
otsego,KMS14,Otsego
oulujarvi,JK01,OULUJARVI
oulujarvi,JK01,Oulujärvi
paijanne,JK05,LAKE PAIJANNE (1463)
paijanne,JK05,Päijänne. Vääksy
palovesi,JK46,PALOVESI
palovesi,JK46,Palovesi
pennessewassee,GAH15,Pennesseewassee (Norway) Lake
pennessewassee,GAH15,Pennessewassee Lake
pielavesi,JK09,PIELAVESI - SAVIA (1427)
pielavesi,JK09,Pielavesi
pielinen,JK40,PIELINEN
pielinen,JK40,Pielinen
rangeley,RH1,Rangeley Lake
richardson,GAH20,Richardson Lake
runn,GW202,RUNN
sarnersee,xHJHF03,Sarnersee
schroon,KMS18,SCHROON
schroon,KMS18,Schroon Lake
sebago,GAH21,Sebago Lake
sebago,GAH21,Sebago Lake *(see notes)
sebec,GAH22,Sebec Lake
sempachersee,xHJHF08,Sempachersee
serwy,xIMGW01,Lake Serwy
shell,JJM22,SHELL LAKE
shell,JJM22,Shell
shell,JJM22,Shell Lake
shields,xKB1618,Shields (MN66005500)
sunapee,GAH24,Sunapee Lake
suwa,ARAI1,Lake Suwa
suwa,ARAI1,LAKE SUWA
suwa,ARAI1,Suwa
thompson,GAH26,Thompson Lake
umbagog,GAH27,Umbagog Lake
untersee,xHJHF06,Untersee
vesijarvi,JK04,LAKE VESIJARVI (1462)
vesijarvi,JK04,Vesijärvi
visuvesi,JK45,VISUVESI
visuvesi,JK45,Visuvesi
west_grand,GAH28,West Grand Lake
wilson,xKB1978,Wilson Lake
winnipesaukee,GAH29,Winnipesaukee
